Airline,Source,Destination,Stops
2Z,RAO,BSB,0
2Z,RAO,GIG,0
2Z,RAO,GRU,0
2Z,RAO,GYN,0
2Z,RAO,PLU,0
2Z,RAO,SJP,0
2Z,RAO,UDI,0
2Z,SJP,RAO,0
2Z,SSA,BRA,0
2Z,SSA,VDC,0
2Z,UBA,GRU,0
2Z,UBA,UDI,0
2Z,UDI,GRU,0
2Z,UDI,GYN,0
2Z,UDI,RAO,0
2Z,UDI,UBA,0
2Z,VDC,GRU,0
2Z,VDC,SSA,0
3E,BRL,ORD,0
3E,BRL,STL,0
3E,DEC,ORD,0
3E,DEC,STL,0
3E,JBR,STL,0
3E,ORD,BRL,0
3E,ORD,DEC,0
3E,STL,BRL,0
3E,STL,DEC,0
3E,STL,JBR,0
3F,CGA,HYL,0
3F,CGA,KTN,0
3F,HYL,CGA,0
3F,HYL,KTB,0
3F,HYL,KTN,0
3F,KTB,HYL,0
3F,KTB,KTN,0
3F,KTN,CGA,0
3F,KTN,HYL,0
3F,KTN,KTB,0
3F,KTN,MTM,0
3F,MTM,KTN,0
3G,ACC,DKR,0
3G,ACC,LOS,0
3G,ACC,ROB,0
3G,BCN,BJL,0
3G,BJL,BCN,0
3G,BJL,DKR,0
3G,BJL,FNA,0
3G,CKY,OXB,0
3G,DKR,ACC,0
3G,DKR,BJL,0
3G,DKR,DLA,0
3G,DKR,FNA,0
3G,DKR,LOS,0
3G,DKR,OXB,0
3G,DLA,DKR,0
3G,DLA,LOS,0
3G,FNA,BJL,0
3G,FNA,DKR,0
3G,FNA,LGW,0
3G,FNA,ROB,0
3G,LGW,FNA,0
3G,LOS,ACC,0
3G,LOS,DKR,0
3G,LOS,DLA,0
3G,LOS,ROB,0
3G,OXB,CKY,0
3G,OXB,DKR,0
3G,ROB,ACC,0
3G,ROB,FNA,0
3G,ROB,LOS,0
3H,AKV,YIK,0
3H,AKV,YPX,0
3H,XGR,YVP,0
3H,YGL,YGW,0
3H,YGL,YPX,0
3H,YGL,YUL,0
3H,YGW,YGL,0
3H,YGW,YPH,0
3H,YGW,YSK,0
3H,YGW,YUD,0
3H,YGW,YUL,0
3H,YGW,YUY,0
3H,YIK,AKV,0
3H,YIK,YZG,0
3H,YKG,YPJ,0
3H,YKG,YQC,0
3H,YKG,YVP,0
3H,YKL,YQB,0
3H,YKL,YVP,0
3H,YKL,YWK,0
3H,YKL,YZV,0
3H,YPH,YPX,0
3H,YPH,YUD,0
3H,YPH,YVP,0
3H,YPJ,YKG,0
3H,YPJ,YTQ,0
3H,YPJ,YVP,0
3H,YPX,AKV,0
3H,YPX,YGL,0
3H,YPX,YPH,0
3H,YPX,YVP,0
3H,YQB,YKL,0
3H,YQB,YUL,0
3H,YQC,YKG,0
3H,YQC,YWB,0
3H,YSK,YGW,0
3H,YSK,YUD,0
3H,YTQ,YPJ,0
3H,YTQ,YVP,0
3H,YUD,YGW,0
3H,YUD,YPH,0
3H,YUD,YSK,0
3H,YUL,YGL,0
3H,YUL,YGW,0
3H,YUL,YQB,0
3H,YUL,YUY,0
3H,YUY,YGW,0
3H,YUY,YUL,0
3H,YVP,XGR,0
3H,YVP,YGW,0
3H,YVP,YKG,0
3H,YVP,YKL,0
3H,YVP,YPH,0
3H,YVP,YPJ,0
3H,YVP,YPX,0
3H,YVP,YTQ,0
3H,YWB,YQC,0
3H,YWB,YZG,0
3H,YWK,YKL,0
3H,YWK,YZV,0
3H,YZG,YIK,0
3H,YZG,YWB,0
3H,YZV,YKL,0
3H,YZV,YWK,0
3J,JIB,DXB,0
3J,JIB,JED,0
3J,JIB,MGQ,0
3J,MGQ,NBO,0
3J,NBO,MGQ,0
3K,BKK,SIN,0
3K,DRW,SIN,0
3K,HAK,SIN,0
3K,HGH,SIN,0
3K,HKG,SIN,0
3K,HKT,SIN,0
3K,KIX,MNL,0
3K,KIX,TPE,0
3K,KUL,SIN,0
3K,MNL,KIX,0
3K,MNL,SIN,0
3K,PEN,SIN,0
3K,PER,SIN,0
3K,PNH,SIN,0
3K,REP,SIN,0
3K,RGN,SIN,0
3K,SGN,SIN,0
3K,SIN,BKK,0
3K,SIN,DRW,0
3K,SIN,HAK,0
3K,SIN,HGH,0
3K,SIN,HKG,0
3K,SIN,HKT,0
3K,SIN,KUL,0
3K,SIN,MNL,0
3K,SIN,PEN,0
3K,SIN,PER,0
3K,SIN,PNH,0
3K,SIN,REP,0
3K,SIN,RGN,0
3K,SIN,SGN,0
3K,SIN,SWA,0
3K,SIN,TPE,0
3K,SWA,SIN,0
3K,TPE,KIX,0
3K,TPE,SIN,0
3L,ACH,EBA,0
3L,DRS,ZRH,0
3L,DUS,FDH,0
3L,EBA,ACH,0
3L,EBA,FDH,0
3L,EBA,MUC,0
3L,EBA,ZRH,0
3L,FDH,DUS,0
3L,FDH,EBA,0
3L,FDH,HAM,0
3L,FDH,OLB,0
3L,FDH,TXL,0
3L,FDH,ZAD,0
3L,FMM,NAP,0
3L,GRZ,ZRH,0
3L,HAM,FDH,0
3L,MUC,EBA,0
3L,NAP,FMM,0
3L,OLB,FDH,0
3L,SZG,ZRH,0
3L,TXL,FDH,0
3L,ZAD,FDH,0
3L,ZRH,DRS,0
3L,ZRH,EBA,0
